,SchoolCode,DisciplineRate,DisciplineInt
285225,1892.0,<10%,
285472,1798.0,<10%,
285658,5454.0,<10%,
286283,3024.0,<5%,4_to_7
286434,2443.0,<10%,
287067,1980.0,<10%,
287152,3193.0,<10%,
287276,2246.0,<5%,4_to_7
287481,5151.0,<6%,4_to_7
287913,3132.0,1.20%,below_2
288040,5078.0,<10%,
288658,4100.0,<1%,below_2
289140,1708.0,,
290197,2031.0,<3%,2_to_4
290410,5250.0,<1%,below_2
290691,2331.0,<4%,2_to_4
290848,4022.0,13.50%,above_10
291033,5412.0,<8%,
291115,5335.0,<1%,below_2
291206,5344.0,<3%,2_to_4
291290,5342.0,<1%,below_2
291375,5501.0,<9%,
291427,5306.0,<1%,below_2
291501,5360.0,<5%,4_to_7
291574,5435.0,<2%,below_2
291662,5316.0,<3%,2_to_4
291743,5397.0,<10%,
291800,5329.0,,
291857,5348.0,1.00%,below_2
292109,1647.0,<5%,4_to_7
292602,2750.0,<9%,
294364,2706.0,<9%,
294517,2942.0,8.10%,
294869,3015.0,3.20%,2_to_4
295160,1648.0,,
295305,1643.0,,
296081,5480.0,,
296488,5223.0,<10%,
296579,1733.0,<7%,4_to_7
297054,2634.0,20.00%,above_10
297135,1754.0,<10%,
297226,1594.0,<10%,
297771,1854.0,,
297984,1904.0,<10%,
298978,3213.0,,
300475,2917.0,2.80%,2_to_4
300742,2397.0,<10%,
301435,2858.0,<10%,
301684,4283.0,,
301796,5118.0,<9%,
302045,2681.0,2.00%,below_2
303305,5106.0,25.90%,above_10
303400,1724.0,<10%,
303762,5961.0,<2%,below_2
306816,2241.0,<9%,
307275,2908.0,<1%,below_2
307407,1907.0,<10%,
307714,2503.0,4.40%,4_to_7
308024,4104.0,3.50%,2_to_4
308471,1567.0,23.80%,above_10
308808,3575.0,<10%,
309295,5046.0,,
309936,2508.0,1.50%,below_2
310212,5537.0,,
310573,5172.0,<7%,4_to_7
310662,2499.0,1.40%,below_2
310944,2125.0,4.40%,4_to_7
311058,1640.0,<3%,2_to_4
311218,5321.0,<2%,below_2
311443,1763.0,<10%,
312076,2474.0,<10%,
312326,5430.0,,
312539,3088.0,2.60%,2_to_4
312650,1506.0,<10%,
312837,2416.0,1.30%,below_2
313107,3327.0,5.70%,4_to_7
313838,2468.0,<5%,4_to_7
314341,3553.0,<3%,2_to_4
314613,2357.0,<7%,4_to_7
314953,2478.0,<9%,
315372,3528.0,<1%,below_2
315750,5356.0,,
315791,5417.0,,
315826,1880.0,,
316275,1807.0,<10%,
316330,2039.0,<6%,4_to_7
316498,1737.0,<5%,4_to_7
316689,5070.0,,
317044,2475.0,2.70%,2_to_4
317172,5315.0,,
317429,1898.0,,
317600,3579.0,<10%,
318024,3511.0,1.20%,below_2
318643,2390.0,3.50%,2_to_4
319276,5264.0,,
319521,1518.0,<10%,
319889,2132.0,<9%,
319986,4427.0,1.10%,below_2
320120,2367.0,6.70%,4_to_7
320386,5268.0,<8%,
320480,4295.0,<2%,below_2
320737,4228.0,<3%,2_to_4
322268,4326.0,4.90%,4_to_7
323014,2479.0,8.50%,
324537,2285.0,<1%,below_2
324815,3204.0,,
326075,3516.0,3.70%,2_to_4
327700,5497.0,<10%,
329477,3282.0,<1%,below_2
331009,1698.0,<4%,2_to_4
331379,5003.0,12.20%,above_10
331417,5169.0,<3%,2_to_4
331704,3854.0,5.60%,4_to_7
331819,5337.0,<10%,
332226,1596.0,<4%,2_to_4
332556,3811.0,<5%,4_to_7
332663,1713.0,<3%,2_to_4
332758,2150.0,3.00%,2_to_4
332885,3576.0,<1%,below_2
333015,4272.0,<3%,2_to_4
333147,2388.0,5.20%,4_to_7
333736,5226.0,<10%,
333897,1835.0,<10%,
334056,2471.0,1.30%,below_2
334173,4137.0,5.20%,4_to_7
334838,3189.0,3.30%,2_to_4
335734,3241.0,<1%,below_2
335852,5548.0,,
337473,3343.0,4.40%,4_to_7
337587,5154.0,<1%,below_2
337829,3921.0,4.70%,4_to_7
338228,5352.0,<10%,
340291,1992.0,<10%,
340537,3363.0,<10%,
340841,5323.0,<2%,below_2
340939,1777.0,<4%,2_to_4
341211,5114.0,,
341424,2513.0,,
341986,4495.0,<1%,below_2
342202,4504.0,3.60%,2_to_4
342762,2428.0,2.30%,2_to_4
342892,5181.0,,
343356,5374.0,<8%,
343570,3089.0,<8%,
344454,2214.0,<6%,4_to_7
344768,2272.0,1.30%,below_2
344979,3778.0,8.50%,
345585,4314.0,12.00%,above_10
345696,1682.0,<10%,
345956,4149.0,<3%,2_to_4
346530,4484.0,6.40%,4_to_7
347321,4158.0,3.50%,2_to_4
347545,1915.0,,
347690,1523.0,,
348079,1882.0,,
348202,1677.0,,
348252,2001.0,,
348505,3616.0,,
348643,3903.0,,
348769,1848.0,<7%,4_to_7
348977,5192.0,,
349713,3526.0,<8%,
350094,1838.0,<10%,
350345,5278.0,<10%,
350401,1842.0,<3%,2_to_4
350616,2186.0,,
351346,4515.0,2.20%,2_to_4
351641,3068.0,<10%,
351720,2084.0,5.10%,4_to_7
352008,4093.0,8.60%,
352272,2581.0,3.20%,2_to_4
352851,1537.0,3.70%,2_to_4
353343,4131.0,5.30%,4_to_7
353464,5527.0,<10%,
353595,5542.0,<10%,
353679,5399.0,<10%,
355235,3119.0,<4%,2_to_4
356092,3507.0,<10%,
356178,1938.0,<10%,
356527,4274.0,<2%,below_2
356919,5376.0,<4%,2_to_4
357032,5375.0,<3%,2_to_4
357576,4450.0,<1%,below_2
357815,3247.0,3.20%,2_to_4
359031,2959.0,9.00%,
361130,1951.0,,
361614,1987.0,<10%,
361818,1860.0,4.40%,4_to_7
362114,3580.0,13.60%,above_10
362366,2849.0,2.00%,below_2
362643,5282.0,6.30%,4_to_7
362933,5473.0,<10%,
363396,3418.0,<10%,
363601,3509.0,6.00%,4_to_7
364336,1856.0,<5%,4_to_7
364441,5301.0,<8%,
364535,1767.0,,
364636,5440.0,<3%,2_to_4
364679,3584.0,3.20%,2_to_4
365369,2514.0,,
365602,5165.0,<10%,
365838,1769.0,<10%,
366310,3925.0,<10%,
367204,3710.0,3.50%,2_to_4
367326,4570.0,6.00%,4_to_7
